"Feeder","Point.y","Point.x","coords.x1","coords.x2"
"1",50.7718547,-3.9017327,266000.150455239,98643.6635829316
"2",50.771983,-3.901502,266016.783458672,98657.510913015
"3",50.7723562,-3.9015473,266014.656833977,98699.089344138
"4",50.7721622,-3.9019613,265984.912089096,98678.269291515
"5",50.771373,-3.9017749,265995.797219801,98590.179687621
"6",50.7715193,-3.9013964,266022.902955058,98605.760399212
"7",50.771114,-3.901738,265997.658165667,98561.3144364572
"8",50.771277,-3.901169,266038.243635711,98578.4066058803
"9",50.770023,-3.902362,265950.539273551,98441.1376612089
"10",50.7723918,-3.9024317,265952.402557382,98704.6520080369
"11",50.772214,-3.903709,265861.835318559,98687.2006630964
"12",50.774075,-3.903072,265912.07504636,98892.9697358782
"13",50.7743458,-3.9012408,266041.956596568,98919.7581100806
"14",50.771656,-3.896594,266361.900518548,98612.2623517167
"15",50.770822,-3.897795,266274.840132482,98521.7025920477
"16",50.770112,-3.897265,266310.183953468,98441.7981859564
"17",50.769378,-3.896095,266390.58766187,98358.0679077675
"18",50.768864,-3.898469,266221.726387508,98305.2118374334
"19",50.7668744,-3.9009157,266043.516671488,98088.4204512452
"20",50.7678813,-3.9011121,266032.546415431,98200.7341399792
"21",50.770037,-3.903272,265886.415047815,98444.3457944009
"22",50.7720661,-3.9067876,265644.348601392,98676.3497015833
"23",50.774268,-3.904905,265783.393976969,98917.7579727729
"24",50.770037,-3.903272,265886.415047815,98444.3457944009
"25",50.7702206,-3.9052963,265744.207392429,98468.4368787627
"26",50.77491,-3.908521,265530.295155287,98995.717772425
"27",50.773929,-3.908436,265533.471967553,98886.4852739669
"28",50.772153,-3.910083,265412.249151688,98692.0102110781
"29",50.770301,-3.908107,265546.255971415,98482.4878495103
"30",50.769464,-3.909689,265432.305541039,98392.3017453617
"31",50.765814,-3.908826,265482.678221134,97984.8857289065
"32",50.7663019,-3.903923,265829.817759066,98030.2206156501
"33",50.767743,-3.904494,265793.680874328,98191.4940345726
"34",50.765065,-3.903202,265877.119367131,97891.3802877586
"35",50.764259,-3.901242,266013.029482409,97798.204862059
"36",50.766459,-3.896804,266332.268167772,98034.7853962939
"37",50.7644969,-3.8939238,266529.778746395,97811.4120016047
"38",50.77196,-3.899676,266145.464054963,98651.6436355792
"39",50.772659,-3.898216,266250.400414839,98726.7216161476
"40",50.771311,-3.897228,266316.214114651,98575.0486268839
"SF1",50.775844,-3.905924,265716.06853165,99094.8458687586
"SF2",50.776756,-3.910731,265379.789304246,99205.0001737265
"SF3",50.777684,-3.907095,265638.789478285,99301.5654862953
